px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_gt	py_gt	v_gt	yaw_gt	yawrate_gt	vx_gt	vy_gt	NIS_laser	NIS_radar
-10.7784	10.8232	5.23133	-0.0187988	-0.263486	-10.6009	10.6823	-10.8753	10.8509	5.18596	0.0413382	-0.10306	5.18153	0.214317	2.69063	9.27725
-10.5225	10.8197	5.22191	-0.0303579	-0.261192	-10.6563	10.8369	-10.6161	10.8609	5.18775	0.0361852	-0.0962627	5.18435	0.187679	2.69063	0.172104
-10.2888	10.8153	5.18407	-0.0418813	-0.260027	-10.4142	10.8747	-10.3569	10.8697	5.18942	0.0313721	-0.0894504	5.18687	0.162776	1.02018	0.172104
-10.0417	10.8659	5.11612	-0.0165288	-0.20052	-9.90413	11.2255	-10.0976	10.8772	5.19097	0.0268996	-0.0826241	5.1891	0.139618	1.02018	6.72078
-9.78117	10.911	5.13539	-0.00819193	-0.181925	-9.83445	11.1032	-9.83809	10.8837	5.19241	0.0227684	-0.0757847	5.19106	0.118212	2.18751	6.72078
-9.55008	10.8929	5.08716	-0.0211878	-0.183503	-10.195	10.3498	-9.57852	10.8891	5.19372	0.0189791	-0.0689333	5.19278	0.0985664	2.18751	3.97687
-9.28928	10.9178	5.10399	-0.0189543	-0.171999	-9.3066	11.0348	-9.31887	10.8936	5.19491	0.0155325	-0.062071	5.19428	0.0806865	0.779296	3.97687
-9.04381	10.8989	5.07459	-0.0289004	-0.168739	-9.2226	10.3527	-9.05915	10.8972	5.19597	0.0124289	-0.0551989	5.19557	0.0645787	0.779296	2.65546
-8.77952	10.9286	5.09859	-0.0234369	-0.154776	-8.78899	11.0707	-8.79937	10.9001	5.19691	0.00966898	-0.0483182	5.19667	0.050248	1.13631	2.65546
-8.53949	10.8877	5.06509	-0.0423593	-0.164164	-8.83914	10.0319	-8.53953	10.9023	5.19773	0.00725307	-0.0414297	5.19759	0.0376992	1.13631	6.3266
-8.36994	10.8121	4.92892	-0.07581	-0.189883	-8.62045	10.6577	-8.27965	10.9039	5.19842	0.00518158	-0.0345348	5.19835	0.0269359	5.21534	6.3266
-8.11996	10.8233	4.91893	-0.0681831	-0.165032	-7.91543	11.1157	-8.01974	10.905	5.19899	0.00345484	-0.0276344	5.19896	0.0179617	5.21534	1.63864
-7.78778	10.8649	5.05838	-0.0519625	-0.139806	-7.51971	11.0005	-7.75979	10.9057	5.19943	0.00207312	-0.0207296	5.19942	0.0107791	5.40483	1.63864
-7.527	10.8649	5.04935	-0.0458028	-0.116485	-7.25987	10.6458	-7.49981	10.9061	5.19975	0.00103664	-0.0138215	5.19975	0.00539029	5.40483	2.32602
-7.25138	10.8517	5.08453	-0.0511165	-0.115817	-7.15631	10.815	-7.23983	10.9063	5.19994	0.000345566	-0.00691132	5.19994	0.00179692	0.562957	2.32602
-7.01466	10.8836	5.02909	-0.0281631	-0.0704264	-7.39396	11.0181	-6.97983	10.9064	5.2	-1.50937e-15	3.53787e-16	5.2	-7.84874e-15	0.562957	4.4895
